id_cliente,telefono,fecha_contacto,resultado,agente,importe,producto
2,1155557810,2024-01-11,Contactado,Ana,,B
5,541155553380,2024-01-12,No contesta,Pedro,,A
6,1155558829,2024-01-21,Error,SIN_ASIGNAR,,B
11,541155556080,2024-01-28,Contactado,Pedro,,A
15,1155551636,2024-01-08,Fuera de servicio,Pedro,,A
17,1155551947,2024-01-30,Error,Pedro,,C
22,1155556988,2024-01-15,Fuera de servicio,Pedro,,C
23,1155552307,2024-01-25,No contesta,Ana,,C
24,1155552616,2024-01-14,No contesta,Marcos,1253.0,A
25,541155554652,2024-01-26,Contactado,Pedro,,B
27,1155550344,2024-01-16,No contesta,Pedro,,A
28,1155556824,2024-01-07,No contesta,Lucía,,A
30,541155557626,2024-01-17,No contesta,Lucía,1755.0,A
32,1155550701,2024-01-02,Error,Lucía,,A
37,1155554622,2024-01-13,Fuera de servicio,SIN_ASIGNAR,,A
38,1155554435,2024-01-18,No contesta,Lucía,,C
39,541155553980,2024-01-06,Contactado,SIN_ASIGNAR,,B
40,1155553655,2024-01-28,Contactado,SIN_ASIGNAR,1358.0,A
41,1155551158,2024-01-22,Contactado,Ana,1486.0,C
42,1155552973,2024-01-27,No contesta,Juan,1231.0,C
45,1155556636,2024-01-16,Fuera de servicio,Pedro,1456.0,A
50,541155558434,2024-01-06,Fuera de servicio,Marcos,,A
51,1155559058,2024-01-12,Contactado,Juan,,C
57,1155557412,2024-01-31,No contesta,Lucía,1107.0,A
59,1155552894,2024-01-27,No contesta,Pedro,,A
61,1155557744,2024-01-02,Error,Pedro,,C
62,1155553623,2024-01-09,No contesta,SIN_ASIGNAR,,A
63,1155550120,2024-01-27,Fuera de servicio,SIN_ASIGNAR,,B
64,1155551263,2024-01-10,No contesta,Pedro,,B
67,541155559823,2024-01-03,Error,SIN_ASIGNAR,,C
68,1155558178,2024-01-06,Contactado,Marcos,,C
70,541155554627,2024-01-01,Contactado,SIN_ASIGNAR,1793.0,B
73,1155551037,2024-01-06,Contactado,Pedro,,A
74,1155555716,2024-01-06,Error,Ana,1487.0,C
79,1155557294,2024-01-09,Fuera de servicio,Ana,,C
80,1155556154,2024-01-13,Contactado,SIN_ASIGNAR,,C
81,1155553894,2024-01-03,Contactado,Lucía,1614.0,B
82,1155556478,2024-01-19,Contactado,Lucía,,B
83,1155553706,2024-01-08,Error,Juan,,C
84,1155557804,2024-01-02,No contesta,Juan,1510.0,A
85,541155556189,2024-01-06,Contactado,SIN_ASIGNAR,,A
87,1155552779,2024-01-25,No contesta,Lucía,1378.0,B
89,1155559014,2024-01-04,No contesta,SIN_ASIGNAR,,B
91,541155558168,2024-01-31,Contactado,Ana,,B
96,1155557362,2024-01-12,No contesta,Juan,,B
99,1155559975,2024-01-16,No contesta,Marcos,1837.0,B
100,1155553762,2024-01-26,Contactado,SIN_ASIGNAR,,B
102,1155555350,2024-01-13,No contesta,Marcos,1451.0,B
104,1155555912,2024-01-24,Contactado,Ana,1801.0,B
105,1155551157,2024-01-15,Error,Juan,,B
106,1155551379,2024-01-31,Contactado,SIN_ASIGNAR,1931.0,B
111,1155553179,2024-01-20,Fuera de servicio,Juan,,B
112,541155551420,2024-01-01,Fuera de servicio,Marcos,,C
115,1155551505,2024-01-16,Fuera de servicio,Ana,1150.0,B
116,1155556429,2024-01-04,No contesta,Juan,,A
117,1155559465,2024-01-30,No contesta,SIN_ASIGNAR,,C
118,1155553043,2024-01-07,Contactado,Ana,,B
120,1155553534,2024-01-05,No contesta,Pedro,1950.0,A
123,1155551032,2024-01-13,Error,Marcos,,C
125,1155556893,2024-01-13,No contesta,Ana,,B
126,1155553682,2024-01-20,Fuera de servicio,SIN_ASIGNAR,,B
127,1155556321,2024-01-27,No contesta,Lucía,,C
128,1155559454,2024-01-22,Error,Lucía,1837.0,C
131,1155559851,2024-01-08,Contactado,Ana,1597.0,C
132,1155553215,2024-01-07,No contesta,Pedro,,B
136,541155553401,2024-01-09,Fuera de servicio,Juan,,C
137,1155555249,2024-01-09,No contesta,Ana,,A
