id_cliente,telefono,fecha_contacto,resultado,agente,importe,producto
001,+54 11 5555 6458,2024-13-04,No contesta,Juan,error,A
002,11-5555-7810,2024/01/11,Contactado ,Ana,,B
003,,2024/01/03,Contactado ,Juan,,C
004,,2024-13-25,Error,Ana,1045,B
005,+54 11 5555 3380,2024-01-12,No contesta,Pedro,,A
006,1155558829,2024-01-21,Error,,,B
007,,2024-01-14,Contactado ,Marcos,error,B
008,1155553268,2024-13-30,No contesta,,,C
009,11-5555-4793,2024-13-22,Contactado ,Juan,1082,A
010,,2024-13-15,Contactado,Lucía,,C
011,+54 11 5555 6080,2024-01-28,Contactado,Pedro,error,A
012,,2024-13-30,No contesta,Ana,,B
013,,2024/01/04,Contactado,Marcos,1083,A
014,,2024-01-14,No contesta,Pedro,1775,A
015,11 55551636,08-01-2024,Fuera de servicio,Pedro,,A
016,,2024-13-09,Contactado,Marcos,,B
017,11 55551947,30-01-2024,Error,Pedro,,C
018,,2024-01-25,No contesta,Ana,1758,C
019,11 55554896,2024-13-09,Error,Juan,1323,B
020,,2024-01-20,No contesta ,Lucía,error,A
021,,2024-01-04,Contactado,Marcos,error,A
022,11-5555-6988,15-01-2024,Fuera de servicio,Pedro,,C
023,11 55552307,25-01-2024,No contesta,Ana,,C
024,11-5555-2616,2024/01/14,No contesta ,Marcos,1253,A
025,+54 11 5555 4652,2024/01/26,Contactado ,Pedro,,B
026,+54 11 5555 1256,2024-13-30,Contactado ,Lucía,,B
027,11 55550344,16-01-2024,No contesta,Pedro,,A
028,11 55556824,2024-01-07,No contesta,Lucía,,A
029,+54 11 5555 2580,2024-13-06,No contesta,Pedro,,B
030,+54 11 5555 7626,2024-01-17,No contesta,Lucía,1755,A
031,,2024-01-01,Contactado,,1746,C
032,11 55550701,02-01-2024,Error,Lucía,,A
033,,2024-13-09,Contactado ,Marcos,error,A
034,,2024/01/20,No contesta ,Pedro,1108,C
035,,01-01-2024,Error,Pedro,,C
036,,2024-01-15,No contesta ,Ana,error,B
037,11-5555-4622,2024/01/13,Fuera de servicio,,,A
038,11-5555-4435,2024-01-18,No contesta,Lucía,,C
039,+54 11 5555 3980,2024/01/06,Contactado ,,,B
040,11-5555-3655,2024/01/28,Contactado ,,1358,A
041,1155551158,22-01-2024,Contactado,Ana,1486,C
042,11 55552973,2024/01/27,No contesta ,Juan,1231,C
043,,2024/01/21,Fuera de servicio,,error,A
044,,19-01-2024,Fuera de servicio,Juan,1716,A
045,11-5555-6636,2024-01-16,Fuera de servicio,Pedro,1456,A
046,,2024-13-24,Error,Marcos,error,C
047,+54 11 5555 2486,2024-13-08,No contesta,Marcos,1498,B
048,11-5555-3363,2024-13-29,Contactado ,Juan,1625,A
049,,2024-01-04,Contactado,Pedro,error,C
050,+54 11 5555 8434,06-01-2024,Fuera de servicio,Marcos,,A
051,1155559058,2024-01-12,Contactado,Juan,,C
052,1155557844,2024-13-07,Error,Ana,,C
053,,22-01-2024,Contactado ,Marcos,,B
054,,2024-01-11,No contesta,Lucía,,A
055,,2024-13-23,Fuera de servicio,,error,A
